record_id,binary_label,label_raw,article_id,keyword,country,text,y_true,score,y_pred,mistake_strength
9540,0,"[0, 0, 0, 0, 0, 0, 0]",19156285,in-need,gb,"She added : "" I am really happy with the awards , but I just want to help those in need . """,0,1.5925287687153231,1,1.5925287687153231
9362,0,"[0, 0, 0, 0, 0, 0, 0]",3042843,homeless,us,"But he said when the company sent him his refund , they 're going to give all of the money to a group in Columbus that helps the homeless . "" We 're just going to donate it directly to that group and let them help other homeless people , because that 's what was intended to happen , "" he said .",0,1.5756344348623494,1,1.5756344348623494
8901,0,"[0, 0, 0, 0, 0, 0, 0]",4273955,in-need,lk,""" You also get to meet a lot of people "" enthuses Kanthi . Kanthi , has not only grasped the opportunity to meet a lot of people through dancing , but has also used the chance to reach out to those in need of help . The proceeds from ' Step by step ' will be in aid of the Society for Uplift and Rehabilitation of Leprosy Patients ( SUROL ) .",0,1.525412927521525,1,1.525412927521525
8626,0,"[0, 0, 0, 0, 0, 0, 0]",23832980,in-need,bd,""" Your personal leadership has been critical to addressing the plight of the Rohingya who fled to safety in your country . I thank you for all you have done to assist these men , women and children in need , "" he wrote in the message .",0,1.358833403143732,1,1.358833403143732
9722,0,"[0, 0, 0, 0, 0, 0, 0]",21131645,poor-families,au,"Young people are too often at the sharp end of poverty , either as children of poor families , or as young people trying to live independent lives . Families with children are more likely to live in poverty than others due to the falling level of benefit income , but also due to low wages and increasing costs , given how prices are rising at the moment .",0,1.3029430694005435,1,1.3029430694005435
9687,0,"[0, 0, 0, 0, 0, 0, 0]",21886360,poor-families,pk,"In his condolence message , he said , "" All our sympathies are with the poor families as we are standing in cohesion with the Egyptian government and the people in this hour of grief . """,0,1.2924618975060629,1,1.2924618975060629
8801,0,"[0, 0, 0, 0, 0, 0, 0]",14811855,poor-families,ng,My sister and I were just talking about this yesterday . She was telling me how she had to chastise her assistant at work for using young kids as house help . She told her these are kids like her kids these children are serving but unfortunately that they are from poor families,0,1.2343473407693548,1,1.2343473407693548
8591,0,"[0, 0, 0, 0, 0, 0, 0]",14699180,homeless,us,His friends at the Chevron want people to know he was n't just a faceless homeless person . He was their friend and their family .,0,1.1750281501128497,1,1.1750281501128497
8744,0,"[0, 0, 0, 0, 0, 0, 0]",26143846,homeless,in,"Black grew up in the neighbourhood around the church , where he would eat Franklin 's cooking at lavish meals she provided for the community and the homeless each Thanksgiving and Christmas . "" She made the best oxtail soup , with that cornbread , and it was to die for , "" he recalled . "" It would be so much food that you would n't know what to do . """,0,1.0730971755130383,1,1.0730971755130383
8696,0,"[0, 0, 0, 0, 0, 0, 0]",1830983,poor-families,tz,"Women living in rural areas , particularly the underprivileged , including those who come from poor families , normally have least access to skilled health attendance when time comes for them to have their babies .",0,1.035198793015664,1,1.035198793015664
9341,0,"[0, 0, 0, 0, 0, 0, 0]",4550754,poor-families,jm,""" T-Bird was observant but soft spoken . Only among his friends would you hear him involved in loud talking . He was very caring and he did not allow anyone to change his character and style . He stood for high principles even if it meant he would stand alone . He showed love and respect to all those around him . He was the Godfather for most of the poor families in the community and was always the provider for his family , "" Dillon said .",0,1.0339971854475272,1,1.0339971854475272
9124,0,"[0, 0, 0, 0, 0, 0, 0]",15229246,homeless,my,""" We are also selling ' nasi lemak ' online and the profit is used for charitable work in helping the homeless and giving free tuition to children from squatter areas and the People 's Housing Project ( PPR ) , "" she said . -- BERNAMA",0,1.0200706941658562,1,1.0200706941658562
9885,0,"[0, 0, 0, 0, 0, 0, 0]",23838126,disabled,nz,"Do you want to be on the side saying disability and the people with them are a part of life , not negative or positive , just people ? Do you want to use terminology that acknowledges the causes of someone being disabled ? Or do you want to be saying , "" I do n't think of my child as disabled "" and in doing so , forever telling your child , and others like them , that being disabled is somehow a bad thing .",0,1.011986606279302,1,1.011986606279302
10031,0,"[0, 0, 0, 0, 0, 0, 0]",30099731,in-need,za,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn",0,0.982203008541876,1,0.982203008541876
8742,0,"[0, 0, 0, 0, 0, 0, 0]",16431902,vulnerable,ng,"Akande said : "" We are using a Community-Based Targeting template of the World Bank and as we have explained , this is the mode of identifying the poorest of the poor and the most vulnerable . """,0,0.9448915103518224,1,0.9448915103518224
9351,0,"[0, 0, 0, 0, 0, 0, 0]",8281554,hopeless,my,We seem to have lost our way . And a grim sense of helplessness and hopelessness has cast a hazy gloom across the nation . Our beloved nation is in distress . We all need to take ownership to reclaim the nation and rebuild a nation for our children and the generations to come .,0,0.9393893369095248,1,0.9393893369095248
9565,0,"[0, 0, 0, 0, 0, 0, 0]",30006938,homeless,bd,"After the war , she was homeless as none of her relatives or neighbours gave her shelter and she had to live in the open with her three children and often went hungry . Her two sons died soon after the war .",0,0.9283309888387704,1,0.9283309888387704
10090,0,"[0, 0, 0, 0, 0, 0, 0]",24275614,poor-families,ke,""" We have identified extremely poor families , orphaned children , the elderly and those living with HIV/AIDS but with no source of income . We will give them priority to enable them get treated whenever they fall sick , "" he said .",0,0.901442746623313,1,0.901442746623313
9829,0,"[0, 0, 0, 0, 0, 0, 0]",20966129,hopeless,ke,"I have been looking to see if Ojinga 's son and daughters , Kalonzo 's children would be among these jobless and hopeless looking demonstrators.As usual , they are nowhere to be seen.At the end of the day , having demonstrated all day on empty stomach , their children and wives are asking the goons for money to buy unga for dinner answer hakuna ! ? Meanwhile , Ojinga and his NASWA team and of course families retire to their posh homes in Karen and after dinner , they have enough to throw away or feed the dogs while the demonstrators sleep hungry.This is replicated every time there is a demonstration in our city and towns across the country . Due to lack of the basic necessities , the demonstrator resorts to looting and stealing.The rest is history .",0,0.8501619668301166,1,0.8501619668301166
9411,0,"[0, 0, 0, 0, 0, 0, 0]",9977503,in-need,ph,""" The boxing community is wonderful at helping those in need , today is a prime example .",0,0.8383555115028447,1,0.8383555115028447
9983,0,"[0, 0, 0, 0, 0, 0, 0]",7420402,vulnerable,nz,"A lot of places were using vulnerable people , offering them somewhere to get a foot in the door , to get started and to be mentored .",0,0.8229996468292027,1,0.8229996468292027
8453,0,"[0, 0, 0, 0, 0, 0, 0]",25016305,in-need,au,""" This incident will not tear us down but rather strengthen us as an organization . We will continue our mission of helping Veterans in need . It is through your generous donations and the volunteers in Chapter 84 that we have been able to provide transportation service for Veterans to their appointments at VA facilities and to build wheel chair ramps at no cost to the Veteran . There is scarcely a family in Alexander County that has not witnessed Chapter 84 's Honor Guard perform Military Rites at a loved ones funeral . Last year , Chapter 84 voted to support ' Dental Care for Veterans , ' a program that is getting underway by the DAV Department of North Carolina . Through this program , Veterans will be able to receive primary dental care at no charge .",0,0.8008579349694804,1,0.8008579349694804
9004,0,"[0, 0, 0, 0, 0, 0, 0]",1834832,homeless,tz,Gladness ( 35 ) is a mother of three and a resident of Tongwe village in Muheza District . She and her brood were forced to live a pastoralist-kind of life for four years because they were rendered homeless by her husband 's family following his death .,0,0.7951135273627605,1,0.7951135273627605
9875,0,"[0, 0, 0, 0, 0, 0, 0]",4564081,homeless,jm,"Columns <h> Poor , pregnant and homeless",0,0.790625243637509,1,0.790625243637509
8662,0,"[0, 0, 0, 0, 0, 0, 0]",3537956,in-need,ph,Thalassemia patients need regular blood transfusion to augment the blood deficiency in their system so their body functions properly . Most of these children were waiting for bone marrow transplant and most were in need to flush out excess iron due to regular blood transfusion .,0,0.7720870652349892,1,0.7720870652349892
8899,0,"[0, 0, 0, 0, 0, 0, 0]",23714870,in-need,my,"Meanwhile in Paisley , Scotland , a Muslim shopkeeper set up a charity fridge offering free food to those in need in the hope that the practice could assist food banks that are struggling with increasing demand .",0,0.7345873898551123,1,0.7345873898551123
10200,0,"[0, 0, 0, 0, 0, 0, 0]",24298901,refugee,in,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid .",0,0.7281156177977028,1,0.7281156177977028
10205,0,"[0, 0, 0, 0, 0, 0, 0]",13482823,in-need,tz,"Bridge2Aid is a dental charity that is working towards a world free from dental pain . Bridge2Aid empowers health workers who are already established and well respected members of rural communities . The NGOs provides them with skills , experience and equipment to help those in need .",0,0.6454585417726222,1,0.6454585417726222
8608,0,"[0, 0, 0, 0, 0, 0, 0]",30010853,refugee,bd,"In addition , adolescent radio listener groups give young Rohingya refugees an opportunity to engage on issues affecting them , their families and wider communities .",0,0.6364489520567476,1,0.6364489520567476
10204,0,"[0, 0, 0, 0, 0, 0, 0]",8425477,hopeless,ng,Nigeria is a disgraceful and hopeless nation . In a civilized nation the thieving senate president should have resigned . But here he is the shameless rogue trying to justify his misdeeds . The blackman I think has serious issues in his being . I think corruption is in his DNA hence nigerians and indeed the blacks are what they are . No hope .,0,0.6283864391147287,1,0.6283864391147287
9715,0,"[0, 0, 0, 0, 0, 0, 0]",14815471,poor-families,nz,"Jobs on their own are n't sufficient . Little acknowledges that four out of every 10 children in poverty have parents who work , which shows that not all jobs are equal , and not all jobs are good for poor families . But tell him he 's dreaming if he thinks every parent will miraculously be offered the opportunity to take a decently-paid , secure job with child-appropriate scheduling and hours per week , and flexi-time .",0,0.6203998844602416,1,0.6203998844602416
8610,0,"[0, 0, 0, 0, 0, 0, 0]",24838996,in-need,ph,"Dacawi practically pioneered the concept of civic or community journalism in the city by writing on the plight of indigent patients , other people in need and worthwhile causes that moved people to respond .",0,0.6177702680508117,1,0.6177702680508117
8689,0,"[0, 0, 0, 0, 0, 0, 0]",10092632,homeless,jm,"Allman Town resident Sonya Wilson ( second left ) , and one of her daughters ( fourth left ) hand out boxed lunches to a group of homeless people on King Street , downtown Kingston , on Thursday .",0,0.6165212836750922,1,0.6165212836750922
10310,0,"[0, 0, 0, 0, 0, 0, 0]",10161473,homeless,hk,Chan has for some time been giving free meals to the homeless and elderly who live in the district . He accepts sponsorships for the meal boxes .,0,0.61120383953037,1,0.61120383953037
9560,0,"[0, 0, 0, 0, 0, 0, 0]",1019110,poor-families,us,"Now , that 's all behind her , and she 's wiser . She says she 's trying to get her life on track . These days , Stepp works full time at the Second Street Learning Center in Reading . The center provides round-the-clock day care for working poor families .",0,0.5923448103869042,1,0.5923448103869042
8952,0,"[0, 0, 0, 0, 0, 0, 0]",19550245,in-need,ph,"Besides , any sane person who has seen the insanity that is the six years of the Aquino administration have much to be angry about . I certainly do . Then again , there is much in our history to lament and in need of correction .",0,0.5738026555393192,1,0.5738026555393192
8485,0,"[0, 0, 0, 0, 0, 0, 0]",19343035,hopeless,my,""" Nowadays Hong Kong diffuses hopelessness , worry and resentment . How can we walk further ? We have to pray to God that we wo n't give up even though we can not see immediate results , "" he said .",0,0.5571850343129159,1,0.5571850343129159
9190,0,"[0, 0, 0, 0, 0, 0, 0]",3963374,women,us,"The men and women of the Sergeantsville Fire Company and our many friends and neighbors -- we can not thank you enough for your generous donations with regards to the repast after the funeral . In particular , we thank the Colalillo family ( ShopRite ) , Marinelli family ( Maria Rosa ) , and Phillips Fine Wines for their donations of food and drink .",0,0.5556728054004678,1,0.5556728054004678
9393,0,"[0, 0, 0, 0, 0, 0, 0]",1987407,women,au,"The gift of new life can sometimes distress pregnant women and new mums , but a new free app may help them cope , say two leading mental health advocates .",0,0.5299851615624751,1,0.5299851615624751
9041,0,"[0, 0, 0, 0, 0, 0, 0]",15419560,homeless,hk,"A total of 300 lunch boxes will be sold daily , and Chan hopes to sell around 40,000 charity meal tickets over the next month . The profits will go towards a charity fund he established in August , which has allowed him to give out 3,000 to 4,000 free meals per month to homeless people , the elderly , the poor , and refugees .",0,0.5288869781212779,1,0.5288869781212779
